month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,77.3,43.1,12.722580645161292,2.9750000000000005,0
Feb-1950,76.5,40.7,11.132142857142856,2.3160000000000003,0
Mar-1950,78.9,41.6,13.448387096774194,5.386,0
Apr-1950,82.2,43.7,13.246666666666666,3.012000000000001,0
May-1950,87.9,66.4,10.396774193548387,2.117,0
Jun-1950,95.2,68.6,9.236666666666666,4.861999999999999,0
Jul-1950,91.9,72.9,8.696774193548388,7.081999999999998,0
Aug-1950,94.7,72,7.809677419354837,2.2920000000000003,0
Sep-1950,92.5,64.7,9.253333333333334,1.2650000000000001,0
Oct-1950,88.7,58.4,10.329032258064514,3.182,0
Nov-1950,82,33.5,11.436666666666666,0.756,0
Dec-1950,78.7,27.3,11.109677419354842,5.971999999999999,0
Jan-1951,74.5,31.8,12.658064516129034,4.27,0
Feb-1951,76.1,19.7,11.682142857142859,1.381,0
Mar-1951,79.5,36.9,13.322580645161288,3.902,0
Apr-1951,84.3,46.3,12.616666666666669,3.815,0
May-1951,94.3,60.9,10.503225806451612,2.4859999999999998,0
Jun-1951,95.8,70.7,10.620000000000001,1.733,0
Jul-1951,99.9,74.4,7.796774193548389,6.243000000000001,0
Aug-1951,100.8,74.7,7.080645161290321,2.4410000000000007,0
Sep-1951,91.6,67.1,8.476666666666667,4.649,0
Oct-1951,88,51.3,10.203225806451611,1.0030000000000001,0
Nov-1951,81.9,35,11.343333333333334,1.4930000000000003,0
Dec-1951,79.4,31.9,14.264516129032259,3.6560000000000006,0
Jan-1952,78.3,40.7,12.44516129032258,1.9269999999999998,0
Feb-1952,77.2,40.2,13.524137931034481,7.186,0
Mar-1952,79.5,43.5,13.316129032258063,2.286,0
Apr-1952,88.4,47.4,12.283333333333335,2.734,0
May-1952,92.6,57.9,9.990322580645161,3.4290000000000007,0
Jun-1952,98.8,68.9,8.963333333333333,2.221,0
Jul-1952,97.6,73.9,9.048387096774194,5.340999999999998,0
Aug-1952,93.1,73.5,8.529032258064516,4.441,0
Sep-1952,89.4,64.1,10.553333333333335,4.195,0
Oct-1952,88.1,46.9,9.45483870967742,0.028,0
Nov-1952,80.2,38,11.20333333333333,3.3280000000000003,0
Dec-1952,73.9,30.9,10.896774193548385,4.3020000000000005,0
Jan-1953,73.7,35.4,13.193548387096776,4.38,0
Feb-1953,73.9,38.8,12.392857142857142,6.141000000000001,0
Mar-1953,78.3,47.2,12.274193548387096,2.069,0
Apr-1953,83.8,49.3,13.79333333333333,4.913,0
May-1953,95.6,60.9,11.758064516129032,3.4050000000000002,0
Jun-1953,97.9,72.2,9.479999999999999,3.8300000000000005,0
Jul-1953,94.1,70.9,7.64516129032258,5.113,0
Aug-1953,94.7,73.6,6.941935483870966,8.154,0
Sep-1953,92.5,65.7,9.966666666666667,1.647,0
Oct-1953,87.5,50.7,10.083870967741932,0.6429999999999999,0
Nov-1953,76.9,42.5,10.773333333333332,7.518999999999997,0
Dec-1953,75,33.8,12.629032258064514,10.954999999999998,0
Jan-1954,74.9,36.2,11.183870967741935,3.007,0
Feb-1954,75.9,32,12.985714285714282,1.551,0
Mar-1954,82.5,34.5,13.206451612903223,1.477,0
Apr-1954,85.9,52,10.560000000000002,1.6960000000000004,0
May-1954,86.3,51.1,9.980645161290324,3.583,0
Jun-1954,100.1,64.8,8.506666666666666,2.851,0
Jul-1954,96.5,74.8,10.125806451612902,7.654000000000001,0
Aug-1954,98.5,70.4,9.148387096774192,1.539,0
Sep-1954,94.4,68.7,9.92,3.3340000000000005,0
Oct-1954,87.9,45.4,11.193548387096776,1.4060000000000001,0
Nov-1954,76.1,42.3,12.410000000000002,2.0660000000000003,0
Dec-1954,75.9,34.3,12.300000000000004,5.8069999999999995,0
Jan-1955,72.6,34.4,10.800000000000002,2.682,0.056
Feb-1955,75.8,29.7,12.146428571428574,3.2340000000000004,0
Mar-1955,81.4,33.2,13.148387096774194,0.627,0.056
Apr-1955,89.2,53.8,12.4,4.239,0
May-1955,90.3,63.4,11.183870967741935,4.7749999999999995,0
Jun-1955,93.7,65,9.52,2.791,0
Jul-1955,89.7,74.7,8.174193548387098,8.694999999999999,0
Aug-1955,92.5,71.3,7.158064516129034,6.913000000000001,0
Sep-1955,89.2,71.6,8.446666666666667,6.983999999999998,0
Oct-1955,86.9,45.5,10.151612903225805,1.5500000000000003,0
Nov-1955,80.4,36,12.01,3.0709999999999997,0
Dec-1955,77.4,30.9,11.812903225806451,3.3790000000000004,0
Jan-1956,73.1,34.7,11.987096774193551,3.942,0
Feb-1956,77.3,39.4,12.813793103448276,5.715000000000001,0
Mar-1956,78.7,40.8,12.86451612903226,4.126,0
Apr-1956,81.2,47.7,12.876666666666665,4.083999999999999,0
May-1956,91.9,61.1,9.138709677419355,4.160000000000001,0
Jun-1956,94.5,61.5,8.433333333333335,6.770999999999999,0
Jul-1956,93.3,74.3,8.1,2.9400000000000004,0
Aug-1956,97.1,65.4,7.393548387096774,3.1890000000000005,0
Sep-1956,90.9,61.3,11.093333333333334,4.821000000000001,0
Oct-1956,85.7,58.5,8.829032258064515,2.596,0
Nov-1956,80.6,34.2,11.419999999999996,0.9080000000000003,0
Dec-1956,79.3,40.4,10.722580645161292,4.173,0
Jan-1957,77.6,31.2,12.351612903225806,2.125,0
Feb-1957,79.2,42.1,11.282142857142855,3.5399999999999996,0
Mar-1957,78.4,37.2,12.335483870967744,6.681999999999999,0
Apr-1957,81,48,13.450000000000001,5.488999999999999,0
May-1957,88.6,55.1,10.76774193548387,2.9160000000000004,0
